,gloveOut
0,1.0
1,-0.12920942902565002
2,0.09014522284269333
3,0.1676744520664215
4,-0.14058008790016174
5,0.2106671780347824
6,0.1684441715478897
7,-0.1520717442035675
8,-0.15562061965465546
9,0.18843087553977966
10,0.23530514538288116
11,0.2026580274105072
12,0.0
13,-0.19075080752372742
14,-0.046537697315216064
15,0.0
16,0.16306652128696442
17,-0.028810201212763786
18,-0.14243313670158386
19,0.16173787415027618
20,-0.008163011632859707
21,0.27547746896743774
22,-0.12920942902565002
23,1.0
24,0.23031297326087952
25,0.06786956638097763
26,0.17214122414588928
27,0.12445193529129028
28,-0.013902314007282257
29,0.22788424789905548
30,0.24112723767757416
31,0.18083231151103973
32,0.1116395816206932
33,-0.07827631384134293
34,0.0
35,0.24366486072540283
36,0.37764570116996765
37,0.0
38,0.11603105813264847
39,0.18936863541603088
40,0.252029687166214
41,0.1958562433719635
42,-0.061278846114873886
43,0.2657436728477478
44,0.09014522284269333
45,0.23031297326087952
46,1.0
47,-0.057466596364974976
48,0.11218598484992981
49,0.23931431770324707
50,0.1781712770462036
51,0.12322573363780975
52,0.13238868117332458
53,0.2685319781303406
54,0.10254126787185669
55,0.2652878761291504
56,0.0
57,0.18924538791179657
58,0.23439736664295197
59,0.0
60,0.1847294718027115
61,0.10688464343547821
62,0.08353745937347412
63,0.10657278448343277
64,0.2471790313720703
65,0.07283174246549606
66,0.1676744520664215
67,0.06786956638097763
68,-0.057466596364974976
69,1.0
70,-0.13560131192207336
71,0.1800832748413086
72,0.10130588710308075
73,-0.19458749890327454
74,-0.1650230437517166
75,0.22739475965499878
76,0.5821722149848938
77,0.11138289421796799
78,0.0
79,-0.15655489265918732
80,-0.18065649271011353
81,0.0
82,0.25720250606536865
83,0.005092147272080183
84,-0.1354832947254181
85,0.056272946298122406
86,-0.12112873047590256
87,0.2142326533794403
88,-0.14058008790016174
89,0.17214122414588928
90,0.11218598484992981
91,-0.13560131192207336
92,1.0
93,0.031569939106702805
94,-0.09833546727895737
95,0.268084317445755
96,0.3769015073776245
97,-0.08089611679315567
98,-0.05910573899745941
99,-0.05622894689440727
100,0.0
101,0.35741281509399414
102,0.3427464962005615
103,0.0
104,-0.12900230288505554
105,0.12334507703781128
106,0.34354615211486816
107,0.16347205638885498
108,0.32514041662216187
109,-0.17318357527256012
110,0.2106671780347824
111,0.12445193529129028
112,0.23931431770324707
113,0.1800832748413086
114,0.031569939106702805
115,1.0
