a.name,d.name,"gds.alpha.linkprediction.commonNeighbors(a, d)","gds.alpha.linkprediction.adamicAdar(a, d)",label
Rishi,Chapters,0.0,0.0,false
Rishi,Traits,0.0,0.0,false
Rishi,Kuru_Dynasty,0.0,0.0,false
Woman,Parvas,0.0,0.0,false
Woman,Kingdom,3.0,3.275261327029207,true
Woman,Deities,0.0,0.0,false
Woman,Kaurava,0.0,0.0,false
Woman,Shape,0.0,0.0,false
Woman,Asura,0.0,0.0,false
Woman,Rishi,0.0,0.0,false
Woman,Woman,0.0,0.0,false
Woman,Person,2.0,1.3001104718781173,false
Woman,Deva,0.0,0.0,false
Woman,Pandava,0.0,0.0,false
Woman,Bhagavad_Gita,0.0,0.0,false
Woman,StatesOfIndia,1.0,0.40242960438184466,false
Woman,Events,1.0,0.3459762562611936,false
Woman,Places,1.0,0.3459762562611936,false
Woman,Vyuha,0.0,0.0,false
Woman,Yadava_Dynasty,0.0,0.0,false
Woman,Rivers,1.0,0.40242960438184466,false
Woman,Man,4.0,3.633795942420965,true
Woman,Chapters,0.0,0.0,false
Woman,Traits,1.0,0.3459762562611936,false
Woman,Kuru_Dynasty,0.0,0.0,false
Person,Parvas,2.0,0.9751430179754935,false
Person,Kingdom,2.0,0.7797424905025602,false
Person,Deities,0.0,0.0,false
Person,Kaurava,0.0,0.0,false
Person,Shape,0.0,0.0,false
Person,Asura,0.0,0.0,false
Person,Rishi,0.0,0.0,false
Person,Woman,2.0,1.3001104718781173,true
Person,Person,0.0,0.0,false
Person,Deva,0.0,0.0,false
Person,Pandava,0.0,0.0,false
Person,Bhagavad_Gita,0.0,0.0,false
Person,StatesOfIndia,1.0,0.7213475204444817,false
Person,Events,2.0,2.0008056674402104,true
Person,Places,1.0,1.4426950408889634,false
Person,Vyuha,0.0,0.0,false
Person,Yadava_Dynasty,0.0,0.0,false
Person,Rivers,0.0,0.0,false
Person,Man,2.0,1.3001104718781173,true
Person,Chapters,2.0,0.9751430179754935,false
Person,Traits,1.0,1.4426950408889634,false
Person,Kuru_Dynasty,1.0,0.4170323914242463,false
Deva,Parvas,0.0,0.0,false
Deva,Kingdom,0.0,0.0,false
Deva,Deities,0.0,0.0,false
Deva,Kaurava,0.0,0.0,false
Deva,Shape,0.0,0.0,false
Deva,Asura,1.0,0.9102392266268373,false
Deva,Rishi,0.0,0.0,false
Deva,Woman,0.0,0.0,false
Deva,Person,0.0,0.0,false
Deva,Deva,0.0,0.0,false
Deva,Pandava,0.0,0.0,false
Deva,Bhagavad_Gita,0.0,0.0,false
Deva,StatesOfIndia,0.0,0.0,false
Deva,Events,0.0,0.0,false
Deva,Places,0.0,0.0,false
Deva,Vyuha,0.0,0.0,false
Deva,Yadava_Dynasty,0.0,0.0,false
Deva,Rivers,0.0,0.0,false
Deva,Man,0.0,0.0,false
Deva,Chapters,0.0,0.0,false
Deva,Traits,0.0,0.0,false
Deva,Kuru_Dynasty,0.0,0.0,false
Pandava,Parvas,0.0,0.0,false
Pandava,Kingdom,0.0,0.0,false
Pandava,Deities,0.0,0.0,false
Pandava,Kaurava,1.0,0.5581106265512472,false
Pandava,Shape,0.0,0.0,false
Pandava,Asura,0.0,0.0,false
Pandava,Rishi,0.0,0.0,false
Pandava,Woman,0.0,0.0,false
Pandava,Person,0.0,0.0,false
Pandava,Deva,0.0,0.0,false
Pandava,Pandava,0.0,0.0,false
Pandava,Bhagavad_Gita,0.0,0.0,false
Pandava,StatesOfIndia,0.0,0.0,false
Pandava,Events,0.0,0.0,false
Pandava,Places,0.0,0.0,false
Pandava,Vyuha,0.0,0.0,false
Pandava,Yadava_Dynasty,0.0,0.0,false
Pandava,Rivers,0.0,0.0,false
Pandava,Man,0.0,0.0,false
Pandava,Chapters,0.0,0.0,false
Pandava,Traits,0.0,0.0,false
Pandava,Kuru_Dynasty,0.0,0.0,false
Bhagavad_Gita,Parvas,0.0,0.0,false
Bhagavad_Gita,Kingdom,0.0,0.0,false
Bhagavad_Gita,Deities,0.0,0.0,false
Bhagavad_Gita,Kaurava,0.0,0.0,false
Bhagavad_Gita,Shape,0.0,0.0,false
Bhagavad_Gita,Asura,0.0,0.0,false
Bhagavad_Gita,Rishi,0.0,0.0,false
Bhagavad_Gita,Woman,0.0,0.0,false
Bhagavad_Gita,Person,0.0,0.0,false
Bhagavad_Gita,Deva,0.0,0.0,false
Bhagavad_Gita,Pandava,0.0,0.0,false
Bhagavad_Gita,Bhagavad_Gita,0.0,0.0,false
Bhagavad_Gita,StatesOfIndia,0.0,0.0,false
Bhagavad_Gita,Events,0.0,0.0,false
Bhagavad_Gita,Places,0.0,0.0,false
Bhagavad_Gita,Vyuha,0.0,0.0,false
Bhagavad_Gita,Yadava_Dynasty,0.0,0.0,false
Bhagavad_Gita,Rivers,0.0,0.0,false
Bhagavad_Gita,Man,0.0,0.0,false
Bhagavad_Gita,Chapters,0.0,0.0,false
Bhagavad_Gita,Traits,0.0,0.0,false
Bhagavad_Gita,Kuru_Dynasty,0.0,0.0,false
StatesOfIndia,Parvas,0.0,0.0,false
StatesOfIndia,Kingdom,1.0,1.4426950408889634,false
StatesOfIndia,Deities,0.0,0.0,false
StatesOfIndia,Kaurava,0.0,0.0,false
StatesOfIndia,Shape,0.0,0.0,false
StatesOfIndia,Asura,0.0,0.0,false
StatesOfIndia,Rishi,0.0,0.0,false
StatesOfIndia,Woman,1.0,0.40242960438184466,false
StatesOfIndia,Person,1.0,0.7213475204444817,false
StatesOfIndia,Deva,0.0,0.0,false
StatesOfIndia,Pandava,0.0,0.0,false
StatesOfIndia,Bhagavad_Gita,0.0,0.0,false
StatesOfIndia,StatesOfIndia,0.0,0.0,false
StatesOfIndia,Events,0.0,0.0,false
StatesOfIndia,Places,1.0,1.4426950408889634,false
StatesOfIndia,Vyuha,0.0,0.0,false
StatesOfIndia,Yadava_Dynasty,0.0,0.0,false
StatesOfIndia,Rivers,1.0,0.40242960438184466,false
StatesOfIndia,Man,1.0,0.40242960438184466,false
StatesOfIndia,Chapters,0.0,0.0,false
StatesOfIndia,Traits,0.0,0.0,false
StatesOfIndia,Kuru_Dynasty,0.0,0.0,false
Events,Parvas,1.0,1.4426950408889634,false
Events,Kingdom,0.0,0.0,false
Events,Deities,0.0,0.0,false
Events,Kaurava,0.0,0.0,false
Events,Shape,0.0,0.0,false
Events,Asura,0.0,0.0,false
Events,Rishi,0.0,0.0,false
Events,Woman,1.0,0.3459762562611936,false
Events,Person,2.0,2.0008056674402104,false
Events,Deva,0.0,0.0,false
Events,Pandava,0.0,0.0,false
Events,Bhagavad_Gita,0.0,0.0,false
Events,StatesOfIndia,0.0,0.0,false
Events,Events,0.0,0.0,false
Events,Places,1.0,0.3459762562611936,false
Events,Vyuha,0.0,0.0,false
Events,Yadava_Dynasty,0.0,0.0,false
Events,Rivers,0.0,0.0,false
Events,Man,1.0,0.3459762562611936,false
Events,Chapters,1.0,0.5581106265512472,false
Events,Traits,1.0,0.3459762562611936,false
Events,Kuru_Dynasty,0.0,0.0,false
Places,Parvas,0.0,0.0,false
Places,Kingdom,1.0,0.7213475204444817,false
Places,Deities,0.0,0.0,false
Places,Kaurava,0.0,0.0,false
Places,Shape,0.0,0.0,false
Places,Asura,0.0,0.0,false
Places,Rishi,0.0,0.0,false
Places,Woman,1.0,0.3459762562611936,false
Places,Person,1.0,1.4426950408889634,true
Places,Deva,0.0,0.0,false
Places,Pandava,0.0,0.0,false
Places,Bhagavad_Gita,0.0,0.0,false
Places,StatesOfIndia,1.0,1.4426950408889634,true
Places,Events,1.0,0.3459762562611936,false
Places,Places,0.0,0.0,false
Places,Vyuha,0.0,0.0,false
Places,Yadava_Dynasty,0.0,0.0,false
Places,Rivers,0.0,0.0,false
Places,Man,1.0,0.3459762562611936,false
Places,Chapters,0.0,0.0,false
Places,Traits,1.0,0.3459762562611936,false
Places,Kuru_Dynasty,0.0,0.0,false
Vyuha,Parvas,0.0,0.0,false
Vyuha,Kingdom,0.0,0.0,false
Vyuha,Deities,0.0,0.0,false
Vyuha,Kaurava,0.0,0.0,false
